date	visitors_now	visitors_today	visitors_ytd	temp_air	temp_pool	temp_sea
2026-01-01T19:56:55.430Z	0	0	0	2.0	35.2	7.4
2026-01-01T20:05:15.374Z	0	0	0	1.6	35.2	7.3
2026-01-01T20:18:21.776Z	0	0	0	1.6	35.2	7.3
2026-01-01T20:31:13.299Z	0	0	0	1.6	35.2	7.3
2026-01-01T20:44:37.946Z	0	0	0	1.4	35.2	7.0
2026-01-01T20:54:53.767Z	0	0	0	1.4	35.2	7.0
2026-01-01T21:03:18.276Z	0	0	0	1.3	35.1	7.0
2026-01-01T21:14:45.125Z	0	0	0	1.3	35.1	7.0
2026-01-01T21:27:57.077Z	0	0	0	1.3	35.1	7.0
2026-01-01T21:39:30.577Z	0	0	0	1.2	35.1	6.9
2026-01-01T21:49:24.744Z	0	0	0	1.2	35.1	6.9
2026-01-01T21:57:42.883Z	0	0	0	1.2	35.1	6.9
2026-01-01T22:05:55.852Z	0	0	0	0.9	34.9	6.8
2026-01-01T22:17:26.627Z	0	0	0	0.9	34.9	6.8
2026-01-01T22:31:33.052Z	0	0	0	0.9	34.9	6.8
2026-01-01T22:44:30.382Z	0	0	0	0.8	34.9	7.1
2026-01-01T22:56:24.130Z	0	0	0	0.8	34.9	7.1
2026-01-01T23:14:58.909Z	0	0	0	0.8	34.7	7.3
2026-01-01T23:28:38.534Z	0	0	0	0.8	34.7	7.3
2026-01-01T23:39:55.709Z	0	0	0	1.0	34.8	7.1
2026-01-01T23:49:53.312Z	0	0	0	1.0	34.8	7.1
2026-01-01T23:58:07.961Z	0	0	0	1.0	34.8	7.1
2026-01-02T00:06:18.850Z	0	0	0	0.9	34.8	7.1
2026-01-02T00:46:22.932Z	0	0	0	0.4	34.7	7.0
2026-01-02T01:18:53.367Z	0	0	0	0.3	34.6	7.0
2026-01-02T02:01:47.701Z	0	0	0	0.0	34.3	7.1
2026-01-02T02:50:32.770Z	0	0	0	-0.4	34.3	7.2
2026-01-02T03:27:19.926Z	0	0	0	-0.4	34.1	7.1
